gene	observed CpG	expected CpG	CpG bias
g20671	13	15.42	0.8431
g20672	144	180.4	0.7982
g20673	107	245.77	0.4354
g20674	314	555.56	0.5652
g20675	65	159.83	0.4067
g20676	38	181.9	0.2089
g20677	406	518.44	0.7831
g20678	40	30.8	1.2987
g20679	254	323.78	0.7845
g20680	25	22.84	1.0946
g20681	20	23.66	0.8453
g20682	9	39.82	0.226
g20683	11	60.99	0.1804
g20684	29	44.87	0.6463
g20685	26	32.73	0.7944
g20686	10	14.8	0.6757
g20687	2	10.38	0.1927
g20688	33	63.34	0.521
g20689	23	33.24	0.6919
g20690	323	376.16	0.8587
g20691	324	344.89	0.9394
g20692	184	285.95	0.6435
g20693	89	90.18	0.9869
g20694	95	203.54	0.4667
g20695	29	62.69	0.4626
g20696	17	43.98	0.3865
g20697	63	104.09	0.6052
g20698	80	83.14	0.9622
g20699	168	184.71	0.9095
g20700	86	152.23	0.5649
g20701	510	594.2	0.8583
g20702	35	28.91	1.2107
g20703	49	46.88	1.0452
g20704	65	49.17	1.3219
g20705	87	65.97	1.3188
g20706	373	416.06	0.8965
g20707	230	372.66	0.6172
g20708	5	18.69	0.2675
g20709	131	167.71	0.7811
g20710	123	234.09	0.5254
g20711	11	23.63	0.4655
g20712	73	162.32	0.4497
g20713	27	39.8	0.6784
g20714	5	6.86	0.7289
g20715	37	41.02	0.902
g20716	47	58.83	0.7989
g20717	45	44.54	1.0103
g20718	21	24.15	0.8696
g20719	5	18.78	0.2662
g20720	23	40.12	0.5733
g20721	15	21.49	0.698
g20722	34	41.55	0.8183
g20723	59	100.28	0.5884
g20724	8	25.45	0.3143
g20725	11	23.57	0.4667
g20726	6	15.21	0.3945
g20727	6	15.21	0.3945
g20728	9	45.12	0.1995
g20730	149	248.3	0.6001
g20731	27	25.92	1.0417
g20732	136	137.07	0.9922
g20733	35	49.23	0.7109
g20734	94	154.2	0.6096
g20735	3	10.14	0.2959
g20736	50	81.89	0.6106
g20737	228	370.59	0.6152
g20738	138	445.75	0.3096
g20739	471	567.69	0.8297
g20740	197	458.14	0.43
g20741	19	27.67	0.6867
g20742	7	28.86	0.2426
g20743	13	59.37	0.219
g20744	10	44.57	0.2244
g20745	1960	2708.32	0.7237
g20746	388	540.75	0.7175
g20747	58	115.03	0.5042
g20748	149	208.69	0.714
g20749	102	111.39	0.9157
g20750	70	68.49	1.022
g20751	25	41.79	0.5982
g20752	189	392.21	0.4819
g20753	104	139.31	0.7465
g20754	55	67.32	0.817
g20755	130	351.41	0.3699
g20756	29	91.33	0.3175
g20757	73	132.67	0.5502
g20758	200	415.31	0.4816
g20759	47	75.73	0.6206
g20760	7	30.02	0.2332
g20761	65	191.54	0.3394
g20762	430	511.34	0.8409
g20763	234	300.68	0.7782
g20764	1069	1254.39	0.8522
g20765	486	557.52	0.8717
g20766	90	91.91	0.9792
g20767	265	360.47	0.7352
g20768	60	63.38	0.9467
g20769	125	128.08	0.976
g20770	207	193.94	1.0673
g20771	75	65.91	1.1379
g20772	144	182.5	0.789
g20773	248	324.49	0.7643
g20774	38	36.77	1.0335
g20775	84	81.69	1.0283
g20776	16	15.28	1.0471
g20777	15	20.83	0.7201
g20778	54	63.26	0.8536
g20779	32	37.19	0.8604
g20780	391	435.66	0.8975
g20781	736	951.89	0.7732
g20782	15	32.86	0.4565
g20783	28	43.13	0.6492
g20784	128	264.39	0.4841
g20785	89	105.86	0.8407
g20786	225	279.18	0.8059
g20787	117	205.57	0.5691
g20788	1042	1112.24	0.9368
g20789	15	22.26	0.6739
g20790	44	78.47	0.5607
g20791	3	12.66	0.237
g20792	50	40.42	1.237
tRNA-Tyr398_gene	6	5.65	1.0619
tRNA-Tyr399_gene	6	5.34	1.1236
tRNA-Tyr400_gene	6	5.65	1.0619
tRNA-Tyr401_gene	6	5.86	1.0239
g20793	256	325.85	0.7856
g20794	73	95.2	0.7668
g20795	23	37.18	0.6186
g20796	296	423.85	0.6984
g20797	441	594.51	0.7418
g20798	115	216.35	0.5315
g20799	86	188.45	0.4564
tRNA-Arg402_gene	5	5.84	0.8562
g20800	7	12.89	0.5431
g20801	24	26.49	0.906
g20802	20	85.63	0.2336
g20804	7	13.91	0.5032
g20805	14	26.53	0.5277
g20806	158	215.65	0.7327
g20807	126	157.94	0.7978
g20808	86	189.9	0.4529
g20809	19	52.61	0.3611
g20810	229	373.21	0.6136
g20811	198	207.55	0.954
g20812	272	470.24	0.5784
g20813	237	516.6	0.4588
g20814	150	274.07	0.5473
g20815	442	566.9	0.7797
g20816	57	67.97	0.8386
g20817	45	55.2	0.8152
g20818	941	879.86	1.0695
g20819	2316	3877.5	0.5973
g20820	390	469.81	0.8301
g20821	485	639.06	0.7589
g20822	328	428.17	0.7661
g20823	11	15.23	0.7223
g20824	169	155.98	1.0835
g20825	93	194.93	0.4771
g20826	121	148.06	0.8172
g20827	180	196.96	0.9139
g20828	137	155.46	0.8813
g20829	192	186.08	1.0318
g20830	61	70.97	0.8595
g20831	49	59.38	0.8252
g20832	200	222.62	0.8984
g20833	648	1082.35	0.5987
g20834	123	303.37	0.4054
g20835	75	212.12	0.3536
g20836	114	231.09	0.4933
g20837	700	806.36	0.8681
g20838	47	155.3	0.3026
g20839	134	302.69	0.4427
g20840	103	155.15	0.6639
g20841	25	62.59	0.3994
g20842	12	24.24	0.495
g20843	7	35.68	0.1962
g20845	27	27.77	0.9723
g20846	176	352.98	0.4986
g20847	148	409.46	0.3615
g20848	35	48.62	0.7199
g20849	51	81.02	0.6295
g20850	113	218.82	0.5164
g20851	26	27.95	0.9302
g20852	44	106.69	0.4124
g20853	61	71.59	0.8521
g20854	32	68.04	0.4703
g20855	95	299.95	0.3167
g20856	30	99.42	0.3018
g20857	768	871.34	0.8814
g20858	137	256.69	0.5337
g20859	17	31.69	0.5364
g20860	59	68.19	0.8652
g20861	109	133.0	0.8195
g20862	439	791.89	0.5544
g20863	99	103.55	0.9561
g20864	212	209.45	1.0122
g20865	32	56.24	0.569
g20866	34	77.79	0.4371
g20867	188	444.9	0.4226
g20868	12	15.74	0.7624
g20869	238	300.45	0.7921
g20870	25	26.59	0.9402
g20871	66	138.04	0.4781
g20872	380	638.98	0.5947
g20873	47	42.36	1.1095
g20874	169	234.22	0.7215
g20875	60	66.94	0.8963
g20876	187	184.81	1.0119
g20877	75	161.09	0.4656
g20878	80	137.12	0.5834
g20879	262	277.51	0.9441
g20880	36	71.2	0.5056
g20881	149	169.43	0.8794
g20882	309	406.92	0.7594
g20883	179	202.59	0.8836
g20884	24	70.5	0.3404
g20885	349	528.95	0.6598
g20886	26	27.87	0.9329
g20887	183	205.79	0.8893
g20888	35	31.14	1.124
g20889	29	68.36	0.4242
g20890	54	102.23	0.5282
g20891	100	191.01	0.5235
g20892	44	49.96	0.8807
g20893	92	76.81	1.1978
g20894	48	51.31	0.9355
g20895	25	23.78	1.0513
tRNA-Gly403_gene	8	6.71	1.1923
g20896	37	38.52	0.9605
g20897	48	41.56	1.155
g20898	323	401.88	0.8037
g20899	124	145.7	0.8511
g20900	44	61.37	0.717
g20901	86	76.77	1.1202
g20902	121	141.97	0.8523
g20903	139	146.24	0.9505
g20904	164	198.86	0.8247
g20905	76	72.86	1.0431
g20906	225	224.36	1.0029
g20907	157	146.8	1.0695
g20908	36	118.67	0.3034
g20909	91	92.94	0.9791
g20910	43	91.77	0.4686
g20911	1527	1750.68	0.8722
g20912	26	46.76	0.556
g20913	11	34.65	0.3175
g20914	47	73.62	0.6384
g20915	12	15.56	0.7712
g20916	35	40.04	0.8741
g20917	161	195.21	0.8248
g20918	180	187.3	0.961
g20919	28	33.04	0.8475
g20920	53	42.57	1.245
g20921	205	214.91	0.9539
g20922	385	386.73	0.9955
g20923	220	238.17	0.9237
g20924	76	172.36	0.4409
g20925	247	295.98	0.8345
g20926	181	229.91	0.7873
g20927	171	284.45	0.6012
g20928	289	341.26	0.8469
g20929	33	41.09	0.8031
g20930	169	172.63	0.979
g20931	32	38.1	0.8399
g20932	138	157.62	0.8755
g20933	80	164.95	0.485
g20934	163	233.46	0.6982
g20935	16	13.79	1.1603
g20936	126	276.39	0.4559
g20937	143	181.76	0.7868
g20938	53	100.94	0.5251
g20939	219	246.13	0.8898
g20940	111	120.69	0.9197
g20941	10	12.25	0.8163
g20942	159	172.68	0.9208
g20943	84	95.59	0.8788
g20944	14	14.01	0.9993
g20945	162	166.75	0.9715
g20946	46	42.23	1.0893
g20947	311	410.78	0.7571
g20948	168	242.86	0.6918
g20949	348	454.72	0.7653
g20950	168	147.69	1.1375
g20951	428	394.88	1.0839
g20952	301	358.6	0.8394
g20953	3	17.09	0.1755
g20954	40	179.32	0.2231
g20955	14	31.37	0.4463
g20956	4	31.38	0.1275
g20957	6	12.34	0.4862
g20958	111	143.21	0.7751
g20959	12	47.4	0.2532
g20960	14	21.57	0.649
g20961	53	58.07	0.9127
g20962	193	249.16	0.7746
g20963	34	39.23	0.8667
g20964	53	58.75	0.9021
g20965	111	180.64	0.6145
g20966	48	59.77	0.8031
g20967	15	43.62	0.3439
g20968	364	803.37	0.4531
g20969	225	243.86	0.9227
g20970	142	166.11	0.8549
g20971	117	295.4	0.3961
g20972	76	127.7	0.5951
g20973	100	295.56	0.3383
g20974	36	70.49	0.5107
g20975	28	39.67	0.7058
g20976	109	124.91	0.8726
g20977	321	319.75	1.0039
g20978	445	532.11	0.8363
g20979	66	86.47	0.7633
g20980	32	44.39	0.7209
g20981	306	335.34	0.9125
g20982	66	267.54	0.2467
g20983	179	391.03	0.4578
g20984	28	46.0	0.6087
g20985	86	91.31	0.9418
g20986	62	70.19	0.8833
g20987	61	68.61	0.8891
g20988	19	18.69	1.0166
g20989	362	412.81	0.8769
g20990	211	387.47	0.5446
g20991	212	218.44	0.9705
g20992	27	33.14	0.8147
g20993	116	123.41	0.94
g20994	324	776.05	0.4175
g20995	16	17.82	0.8979
g20996	195	180.25	1.0818
g20997	110	154.06	0.714
g20998	54	80.24	0.673
g20999	29	30.55	0.9493
g21000	32	35.18	0.9096
g21001	69	168.18	0.4103
g21002	146	133.73	1.0918
g21003	92	120.32	0.7646
g21004	171	281.75	0.6069
g21005	167	176.57	0.9458
g21006	248	266.39	0.931
g21007	928	1098.42	0.8448
g21008	44	95.81	0.4592
g21009	364	399.85	0.9103
g21010	136	252.9	0.5378
g21011	324	306.31	1.0578
g21012	148	137.79	1.0741
g21013	715	899.84	0.7946
g21014	19	30.03	0.6327
g21015	123	180.05	0.6831
g21016	232	452.18	0.5131
g21017	109	114.83	0.9492
g21018	55	109.22	0.5036
g21019	331	373.27	0.8868
g21020	378	416.98	0.9065
g21021	225	249.8	0.9007
g21022	33	29.98	1.1007
g21023	31	29.09	1.0657
g21024	31	28.83	1.0753
g21025	29	28.03	1.0346
g21026	33	29.17	1.1313
tRNA-Arg404_gene	5	5.35	0.9346
g21027	101	200.45	0.5039
g21028	309	354.99	0.8704
g21029	41	35.92	1.1414
g21030	278	555.99	0.5
g21031	37	38.9	0.9512
g21032	23	15.56	1.4781
g21033	850	826.42	1.0285
g21034	211	247.79	0.8515
g21035	166	376.35	0.4411
g21036	63	144.78	0.4351
g21037	85	268.85	0.3162
g21038	224	288.3	0.777
g21039	53	54.81	0.967
g21040	43	41.56	1.0346
g21041	693	757.36	0.915
g21042	54	50.66	1.0659
g21043	1139	1314.68	0.8664
g21044	289	439.14	0.6581
g21045	7	15.67	0.4467
g21046	148	235.36	0.6288
g21047	56	188.97	0.2963
g21048	57	150.66	0.3783
g21049	51	64.67	0.7886
g21050	560	812.62	0.6891
g21051	147	179.37	0.8195
g21052	207	211.93	0.9767
g21053	155	192.62	0.8047
g21054	371	655.41	0.5661
g21055	25	82.18	0.3042
g21056	4	23.32	0.1715
g21057	257	252.27	1.0187
g21058	44	45.58	0.9653
g21059	336	320.44	1.0486
g21060	133	148.98	0.8927
g21061	814	786.74	1.0346
g21062	31	40.37	0.7679
g21063	575	616.91	0.9321
g21064	109	111.84	0.9746
g21065	10	17.96	0.5568
g21066	134	346.05	0.3872
g21067	16	16.86	0.949
g21068	10	25.3	0.3953
g21069	10	38.05	0.2628
g21070	25	47.11	0.5307
g21071	60	76.85	0.7807
g21072	152	372.18	0.4084
g21073	345	472.95	0.7295
g21074	135	185.32	0.7285
g21075	413	587.73	0.7027
g21076	23	24.21	0.95
g21077	371	465.17	0.7976
tRNA-Thr405_gene	4	5.67	0.7055
g21078	138	150.32	0.918
g21079	29	25.49	1.1377
g21080	179	296.75	0.6032
g21081	21	23.42	0.8967
g21082	325	412.18	0.7885
g21083	88	143.33	0.614
g21084	37	34.53	1.0715
g21085	33	24.95	1.3226
g21086	148	113.17	1.3078
g21087	16	39.89	0.4011
g21088	34	75.01	0.4533
g21089	15	37.06	0.4047
g21090	17	76.0	0.2237
g21091	15	27.48	0.5459
g21092	51	159.7	0.3193
g21093	4	18.51	0.2161
g21094	37	44.73	0.8272
g21095	100	169.77	0.589
g21096	127	195.83	0.6485
g21097	114	140.89	0.8091
g21098	140	158.88	0.8812
g21099	127	275.08	0.4617
g21100	285	491.5	0.5799
g21101	14	16.77	0.8348
g21102	21	22.5	0.9333
g21103	27	33.72	0.8007
g21104	98	141.92	0.6905
g21105	18	20.67	0.8708
g21106	43	59.38	0.7241
g21107	79	152.28	0.5188
g21108	141	285.12	0.4945
g21109	54	79.64	0.6781
g21110	29	39.0	0.7436
g21111	56	121.64	0.4604
g21112	85	181.01	0.4696
g21113	10	13.71	0.7294
g21114	295	777.6	0.3794
g21115	37	45.17	0.8191
g21116	84	180.44	0.4655
g21117	5	15.7	0.3185
g21118	54	59.65	0.9053
g21119	89	156.62	0.5683
g21120	26	75.51	0.3443
g21121	151	155.36	0.9719
g21122	34	63.55	0.535
g21123	62	80.8	0.7673
g21124	22	26.12	0.8423
g21125	592	957.22	0.6185
g21126	64	73.69	0.8685
g21127	289	380.83	0.7589
g21128	11	15.23	0.7223
g21129	47	65.49	0.7177
g21130	168	343.54	0.489
g21131	596	927.74	0.6424
g21132	12	11.54	1.0399
g21133	71	244.89	0.2899
g21134	40	63.94	0.6256
g21135	60	127.02	0.4724
g21136	386	394.28	0.979
g21137	422	463.41	0.9106
g21138	79	83.58	0.9452
g21139	137	151.06	0.9069
g21140	45	52.52	0.8568
g21141	23	29.07	0.7912
g21142	128	143.78	0.8902
g21143	192	212.75	0.9025
g21144	336	400.72	0.8385
g21145	428	484.91	0.8826
g21146	74	139.71	0.5297
g21147	248	254.66	0.9738
g21148	62	60.19	1.0301
g21149	93	66.21	1.4046
g21150	32	26.46	1.2094
g21151	260	353.26	0.736
g21152	112	149.99	0.7467
g21153	23	56.3	0.4085
g21154	41	67.61	0.6064
g21155	51	84.61	0.6028
g21156	362	369.11	0.9807
g21157	198	233.22	0.849
g21158	529	681.42	0.7763
g21159	107	126.65	0.8448
g21160	109	129.06	0.8446
g21161	413	524.24	0.7878
g21162	119	178.63	0.6662
g21163	314	489.99	0.6408
g21164	23	38.18	0.6024
g21165	82	103.18	0.7947
g21166	30	25.75	1.165
g21167	10	58.31	0.1715
g21168	56	143.79	0.3895
g21169	205	260.66	0.7865
g21170	65	30.61	2.1235
g21171	18	46.4	0.3879
g21172	324	423.02	0.7659
g21173	112	187.71	0.5967
g21174	9	14.5	0.6207
g21175	11	16.95	0.649
g21176	8	28.3	0.2827
g21177	210	251.89	0.8337
g21178	246	252.87	0.9728
g21179	257	241.93	1.0623
g21180	176	266.23	0.6611
g21181	449	519.68	0.864
g21182	24	27.18	0.883
g21183	30	34.52	0.8691
g21184	63	65.69	0.9591
g21185	32	112.53	0.2844
g21186	109	241.12	0.4521
g21187	52	81.95	0.6345
g21188	340	515.05	0.6601
g21189	26	42.87	0.6065
g21190	20	29.39	0.6805
g21191	195	209.46	0.931
g21192	312	406.37	0.7678
g21193	347	407.88	0.8507
g21194	161	244.46	0.6586
g21195	109	115.78	0.9414
g21196	30	33.83	0.8868
g21197	42	129.95	0.3232
g21198	127	163.32	0.7776
g21199	25	28.98	0.8627
g21200	817	851.09	0.9599
g21201	7	9.44	0.7415
g21202	18	45.22	0.3981
g21203	35	49.72	0.7039
g21204	101	136.42	0.7404
tRNA-Leu406_gene	6	5.71	1.0508
tRNA-Trp409_gene	6	5.75	1.0435
tRNA-Arg407_gene	5	6.08	0.8224
tRNA-Leu408_gene	7	6.11	1.1457
g21205	44	46.72	0.9418
g21206	125	178.31	0.701
g21207	26	27.38	0.9496
g21208	46	66.62	0.6905
g21209	24	31.1	0.7717
g21210	251	387.25	0.6482
g21211	207	225.88	0.9164
g21212	29	38.68	0.7497
g21213	231	264.87	0.8721
g21214	13	57.66	0.2255
g21215	11	31.46	0.3497
g21216	37	47.02	0.7869
g21217	328	488.56	0.6714
g21218	81	74.58	1.0861
g21219	30	29.26	1.0253
g21220	45	56.68	0.7939
g21221	211	225.85	0.9342
g21222	20	28.59	0.6995
g21223	3	10.3	0.2913
g21224	228	249.19	0.915
g21225	42	48.02	0.8746
g21226	416	447.5	0.9296
g21227	386	509.21	0.758
g21228	92	218.53	0.421
g21229	48	46.8	1.0256
g21230	46	48.0	0.9583
g21231	176	247.19	0.712
g21232	198	241.48	0.8199
g21233	801	962.22	0.8324
g21234	65	58.98	1.1021
g21235	63	51.56	1.2219
g21236	41	81.12	0.5054
g21237	20	32.18	0.6215
g21238	213	265.69	0.8017
g21239	218	258.41	0.8436
g21240	18	18.0	1.0
g21241	41	44.44	0.9226
g21242	200	225.65	0.8863
g21243	212	335.35	0.6322
g21244	691	826.38	0.8362
g21245	27	28.66	0.9421
g21246	724	1030.08	0.7029
g21247	63	73.71	0.8547
g21248	165	291.25	0.5665
g21249	96	201.82	0.4757
g21250	10	16.33	0.6124
g21251	77	165.59	0.465
g21252	33	175.24	0.1883
g21253	1	11.33	0.0883
g21254	133	197.41	0.6737
g21255	36	45.32	0.7944
g21256	310	494.49	0.6269
g21257	385	568.97	0.6767
g21258	30	33.7	0.8902
g21259	622	682.7	0.9111
g21260	321	384.45	0.835
g21261	68	221.92	0.3064
g21262	53	183.21	0.2893
g21263	123	150.92	0.815
g21264	273	324.1	0.8423
g21265	160	171.34	0.9338
g21266	125	152.83	0.8179
g21267	46	49.15	0.9359
g21268	252	237.52	1.061
g21269	80	112.57	0.7107
g21270	217	217.44	0.998
tRNA-Asn410_gene	9	6.76	1.3314
tRNA-Arg411_gene	3	5.92	0.5068
g21271	117	136.07	0.8599
g21272	20	21.0	0.9524
g21273	53	165.8	0.3197
g21274	521	627.32	0.8305
g21275	33	31.7	1.041
g21276	321	336.15	0.9549
g21277	16	35.44	0.4515
g21278	189	407.01	0.4644
g21279	101	183.17	0.5514
g21280	89	107.29	0.8295
g21281	632	617.21	1.024
g21282	142	280.76	0.5058
g21283	51	63.99	0.797
g21284	326	382.98	0.8512
g21285	98	115.39	0.8493
g21286	34	50.61	0.6718
g21287	189	165.4	1.1427
g21288	201	371.12	0.5416
g21289	268	277.87	0.9645
g21290	60	51.88	1.1565
g21291	243	248.59	0.9775
g21292	51	48.68	1.0477
g21293	60	56.24	1.0669
g21294	60	57.05	1.0517
g21295	52	94.25	0.5517
g21296	240	317.68	0.7555
g21297	15	11.22	1.3369
g21298	23	58.98	0.39
g21299	348	390.91	0.8902
g21300	492	495.86	0.9922
g21301	785	874.63	0.8975
g21302	274	290.88	0.942
g21303	117	134.41	0.8705
g21304	228	300.97	0.7576
g21305	42	83.73	0.5016
g21306	90	124.79	0.7212
g21308	23	36.21	0.6352
g21309	29	54.54	0.5317
g21310	48	112.83	0.4254
g21311	10	43.14	0.2318
g21312	38	28.89	1.3153
g21313	51	62.31	0.8185
g21314	141	253.59	0.556
g21315	110	104.44	1.0532
g21316	168	190.21	0.8832
g21317	459	476.21	0.9639
g21318	31	22.75	1.3626
g21319	192	238.05	0.8066
g21320	17	16.32	1.0417
g21321	38	21.97	1.7296
g21322	33	32.55	1.0138
g21323	73	75.31	0.9693
g21325	2250	2668.9	0.843
g21326	26	71.21	0.3651
g21327	7	30.25	0.2314
g21328	44	42.05	1.0464
g21329	19	23.54	0.8071
g21330	209	260.01	0.8038
g21331	32	32.55	0.9831
g21332	38	41.43	0.9172
g21333	17	18.78	0.9052
g21334	267	249.89	1.0685
g21335	15	19.55	0.7673
g21336	182	400.05	0.4549
g21337	45	106.26	0.4235
g21338	235	496.84	0.473
g21339	240	394.17	0.6089
g21340	160	310.31	0.5156
g21341	72	233.95	0.3078
g21342	317	573.11	0.5531
g21343	29	35.06	0.8272
g21344	20	26.93	0.7427
g21345	8	16.73	0.4782
g21346	9	11.28	0.7979
g21347	30	46.61	0.6436
g21349	740	952.69	0.7767
g21350	15	17.99	0.8338
g21351	263	318.14	0.8267
g21352	48	67.44	0.7117
g21353	228	255.2	0.8934
g21355	154	167.54	0.9192
g21356	807	913.47	0.8834
g21357	296	315.73	0.9375
g21358	224	246.85	0.9074
g21359	23	23.35	0.985
g21360	32	75.38	0.4245
g21361	73	148.94	0.4901
g21362	43	130.85	0.3286
g21363	305	637.68	0.4783
g21364	61	162.64	0.3751
g21365	104	118.68	0.8763
tRNA-Thr421_gene	3	5.59	0.5367
tRNA-Ala420_gene	6	6.16	0.974
tRNA-Asp412_gene	7	7.33	0.955
tRNA-Ile413_gene	4	5.36	0.7463
tRNA-Thr419_gene	3	5.59	0.5367
tRNA-Ala418_gene	6	6.16	0.974
tRNA-Asp414_gene	7	7.33	0.955
tRNA-Ile415_gene	4	5.36	0.7463
tRNA-Thr417_gene	3	5.59	0.5367
tRNA-Ala416_gene	6	6.16	0.974
g21366	2	15.67	0.1276
g21367	15	18.24	0.8224
g21368	118	172.57	0.6838
g21369	31	56.8	0.5458
g21370	90	194.05	0.4638
g21371	55	73.18	0.7516
g21372	204	297.17	0.6865
g21373	128	151.6	0.8443
g21374	293	414.11	0.7075
g21375	24	23.43	1.0243
g21376	1035	1031.48	1.0034
g21377	228	328.92	0.6932
g21378	107	271.08	0.3947
g21379	249	251.41	0.9904
g21380	67	72.91	0.9189
g21381	181	350.38	0.5166
g21382	37	75.29	0.4914
g21383	89	98.75	0.9013
g21384	56	81.96	0.6833
g21385	180	195.83	0.9192
g21386	264	289.67	0.9114
g21387	267	267.24	0.9991
g21388	461	590.36	0.7809
g21389	76	84.78	0.8964
g21390	449	609.51	0.7367
g21391	747	779.59	0.9582
g21392	423	626.29	0.6754
g21393	54	66.83	0.808
g21394	109	231.31	0.4712
g21395	152	180.49	0.8422
g21396	29	48.54	0.5974
g21397	90	148.26	0.607
g21398	43	114.17	0.3766
g21399	22	26.93	0.8169
g21400	30	37.67	0.7964
g21401	65	160.19	0.4058
g21402	58	58.54	0.9908
g21403	125	135.34	0.9236
g21404	121	135.46	0.8933
g21405	125	105.22	1.188
g21406	77	69.88	1.1019
g21407	61	58.38	1.0449
g21408	204	350.73	0.5816
g21409	367	479.98	0.7646
g21410	276	387.17	0.7129
g21411	87	235.78	0.369
g21412	40	47.03	0.8505
g21413	24	27.84	0.8621
g21414	258	308.8	0.8355
g21415	2065	2190.36	0.9428
g21416	831	826.67	1.0052
g21417	365	522.55	0.6985
g21418	194	580.19	0.3344
g21419	102	195.68	0.5213
g21420	46	129.79	0.3544
g21421	39	98.59	0.3956
g21422	1123	1178.38	0.953
g21423	16	58.25	0.2747
g21424	7	19.61	0.357
g21425	33	42.38	0.7787
g21426	70	71.5	0.979
g21427	57	109.61	0.52
g21428	440	569.01	0.7733
g21429	304	310.09	0.9804
g21430	55	47.32	1.1623
g21431	321	297.69	1.0783
g21432	129	124.36	1.0373
g21433	77	74.39	1.0351
g21434	194	410.46	0.4726
g21435	64	141.97	0.4508
g21436	246	222.05	1.1079
g21437	159	183.56	0.8662
g21438	68	97.42	0.698
g21439	63	134.67	0.4678
g21440	185	269.87	0.6855
g21441	223	208.35	1.0703
g21442	629	599.76	1.0488
g21443	270	280.93	0.9611
g21444	448	578.63	0.7742
g21445	528	738.68	0.7148
g21446	37	41.14	0.8994
g21447	617	850.28	0.7256
g21448	48	49.5	0.9697
g21449	880	1003.11	0.8773
g21450	196	188.38	1.0405
g21451	68	52.14	1.3042
g21452	41	55.55	0.7381
g21453	109	144.29	0.7554
g21455	177	230.37	0.7683
g21456	179	212.93	0.8407
g21457	323	371.77	0.8688
g21458	82	97.34	0.8424
g21459	122	143.47	0.8504
g21460	77	71.32	1.0796
tRNA-Met429_gene	7	7.56	0.9259
tRNA-Met428_gene	7	7.56	0.9259
tRNA-Met427_gene	7	7.56	0.9259
tRNA-Met426_gene	7	7.28	0.9615
tRNA-Met425_gene	7	7.56	0.9259
tRNA-Met424_gene	7	7.56	0.9259
tRNA-Met423_gene	7	7.29	0.9602
tRNA-Met422_gene	7	7.56	0.9259
g21461	35	46.44	0.7537
g21462	37	95.73	0.3865
g21463	61	126.78	0.4811
g21464	387	443.97	0.8717
g21465	69	136.83	0.5043
g21466	80	76.7	1.043
g21467	24	33.06	0.726
g21468	112	123.69	0.9055
g21469	259	269.86	0.9598
g21470	304	351.41	0.8651
g21471	393	416.63	0.9433
g21472	59	56.8	1.0387
g21473	364	348.38	1.0448
g21474	289	332.78	0.8684
g21475	577	551.29	1.0466
g21476	35	64.82	0.54
g21477	9	10.16	0.8858
g21478	682	854.47	0.7982
g21479	158	199.56	0.7917
g21480	407	496.46	0.8198
g21481	28	69.36	0.4037
g21482	11	39.08	0.2815
g21483	7	21.56	0.3247
g21484	50	98.52	0.5075
g21485	43	113.58	0.3786
g21486	175	130.25	1.3436
g21487	107	229.81	0.4656
g21488	609	1007.29	0.6046
g21489	288	356.55	0.8077
g21490	47	62.34	0.7539
g21491	139	159.73	0.8702
tRNA-Leu430_gene	6	8.9	0.6742
tRNA-Leu431_gene	7	9.29	0.7535
tRNA-Leu432_gene	7	9.12	0.7675
g21492	89	93.47	0.9522
g21493	68	65.04	1.0455
g21494	148	161.72	0.9152
g21495	299	337.12	0.8869
g21496	41	59.75	0.6862
g21497	5	26.64	0.1877
g21498	38	66.32	0.573
g21499	298	372.69	0.7996
g21500	46	169.63	0.2712
g21501	414	438.74	0.9436
g21502	139	123.06	1.1295
g21503	16	56.93	0.281
g21504	371	456.29	0.8131
g21505	197	221.04	0.8912
g21506	204	193.45	1.0545
g21507	178	201.17	0.8848
g21508	37	90.64	0.4082
g21509	198	226.47	0.8743
g21510	264	386.82	0.6825
g21511	15	53.59	0.2799
g21512	140	141.4	0.9901
g21513	96	116.3	0.8255
g21514	690	933.0	0.7395
g21515	344	343.4	1.0017
g21516	476	577.18	0.8247
g21517	4	9.97	0.4012
g21518	22	64.25	0.3424
g21519	16	64.34	0.2487
g21520	74	113.38	0.6527
g21521	41	131.88	0.3109
g21522	130	167.34	0.7769
g21523	237	470.87	0.5033
g21524	46	41.55	1.1071
g21525	44	51.48	0.8547
g21526	641	795.69	0.8056
g21527	18	27.1	0.6642
g21528	97	94.73	1.024
g21529	224	476.8	0.4698
g21530	53	103.93	0.51
g21531	17	34.12	0.4982
g21532	218	276.62	0.7881
g21533	80	95.41	0.8385
g21534	808	913.86	0.8842
g21535	206	215.13	0.9576
g21536	67	75.16	0.8914
g21537	134	165.47	0.8098
g21538	109	122.25	0.8916
g21539	346	337.68	1.0246
g21540	128	228.65	0.5598
g21541	433	585.96	0.739
g21542	109	240.46	0.4533
g21543	125	132.26	0.9451
g21544	343	388.73	0.8824
g21545	127	219.6	0.5783
g21546	208	496.59	0.4189
g21547	477	483.94	0.9857
g21548	25	28.81	0.8678
g21549	56	52.63	1.064
g21550	215	339.87	0.6326
g21551	69	74.55	0.9256
g21552	110	133.85	0.8218
g21553	93	107.62	0.8642
g21554	31	117.05	0.2648
g21555	496	544.23	0.9114
g21556	689	764.3	0.9015
g21557	9	35.68	0.2522
g21558	68	198.33	0.3429
